resume_file,expected_query,job_title_source
Candidate_01_Data_Visualization_Expert.pdf,Data Visualization Expert,"Senior Program Officer, Gender Data, Measurement and Evaluation"
Candidate_02_Technology_Integration.pdf,Technology Integration,"Program Officer, Urban Sanitation Markets"
Candidate_03_Cloud_Architect.pdf,Cloud Architect,Product Architect
Candidate_04_Data_Quality_Manager.pdf,Data Quality Manager,STORE ASSOCIATE
Candidate_05_IT_Systems_Administrator.pdf,IT Systems Administrator,Systems Administrator III
Candidate_06_Big_Data_Engineer.pdf,Big Data Engineer,"Director, Domain Data Engineer - R &D Data CoE"
Candidate_07_Data_Analyst.pdf,Data Analyst,Data Analyst
Candidate_08_Deep_Learning.pdf,Deep Learning,Operations Leader
Candidate_09_Data_Scientist.pdf,Data Scientist,Staff Assistant
Candidate_10_Data_Engineer.pdf,Data Engineer,GENERAL ENGINEER
Candidate_11_Cloud_Services_Developer.pdf,Cloud Services Developer,Front End Developer
Candidate_12_Technical_Operations.pdf,Technical Operations,Foreign Service Security Technical Specialist
Candidate_13_Database_Administrator.pdf,Database Administrator,"Instructional Assistant, Business"
Candidate_14_Network_Architect.pdf,Network Architect,ITS6 Network Architect Lead
Candidate_15_Data_Architect.pdf,Data Architect,Junior Data Engineer- ML and AI
Candidate_16_IT_Consultant.pdf,IT Consultant,"Junior Knowledge Management Consultant with the HIV, Health and Development Team"
Candidate_17_Machine_Learning.pdf,Machine Learning,Clinical Database Analyst / Reports Writer (MCC-CISS)
Candidate_18_Full_Stack_Developer.pdf,Full Stack Developer,Full Stack Developer
Candidate_19_Business_Analyst.pdf,Business Analyst,"Business Applications Analyst - Information Systems, Full-time"
Candidate_20_Information_Security_Analyst.pdf,Information Security Analyst,"LEAD, CYBER SECURITY ANALYST"
Candidate_21_Business_Intelligence_Analyst.pdf,Business Intelligence Analyst,DDS Spec Proj Sys Analyst V
Candidate_22_Artificial_Intelligence.pdf,Artificial Intelligence,Digital Marketing Specialist
Candidate_23_Data_and_Analytics_Manager.pdf,Data and Analytics Manager,"Oil, Gas & Chemicals Data Management Manager"
Candidate_24_Statistics.pdf,Statistics,Human Resources Analyst
Candidate_25_Data_Warehousing.pdf,Data Warehousing,Senior Quality Assurance Analyst
Candidate_26_Data_Quality_Manager.pdf,Data Quality Manager,Route Manager
Candidate_27_Data_Analyst.pdf,Data Analyst,Data Governance Analyst
Candidate_28_Data_Quality_Manager.pdf,Data Quality Manager,CX - Quality Program Manager
Candidate_29_Data_Scientist.pdf,Data Scientist,Data Scientist
Candidate_30_Network_Architect.pdf,Network Architect,"SBC Media System Architect, NSW"
