resume_idx,resume_file,label_from_filename,expected_query,tfidf_top10_hit,bert_top10_hit,sbert_top10_hit,hybrid_top10_hit,tfidf_query_hit,bert_query_hit,sbert_query_hit,hybrid_query_hit,tfidf_top1_title,bert_top1_title,sbert_top1_title,hybrid_top1_title,tfidf_top1_query,bert_top1_query,sbert_top1_query,hybrid_top1_query
0,Candidate_01_Data_Visualization_Expert.pdf,candidate_01_data_visualization_expert,Data Visualization Expert,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,"Senior Program Officer, Gender Data, Measurement and Evaluation",Business Analyst,"Senior Program Officer, Gender Data, Measurement and Evaluation","Senior Program Officer, Gender Data, Measurement and Evaluation",Data Visualization Expert,Business Analyst,Data Visualization Expert,Data Visualization Expert
1,Candidate_02_Technology_Integration.pdf,candidate_02_technology_integration,Technology Integration,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,"Program Officer, Urban Sanitation Markets",IT Systems Administrator,"Program Officer, Urban Sanitation Markets","Program Officer, Urban Sanitation Markets",Technology Integration,IT Systems Administrator,Technology Integration,Technology Integration
2,Candidate_03_Cloud_Architect.pdf,candidate_03_cloud_architect,Cloud Architect,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Product Architect,Salesforce Marketing Cloud Architect,Senior Web App Full Stack Developer HFS,Product Architect,Cloud Architect,Cloud Architect,Full Stack Developer,Network Architect
3,Candidate_04_Data_Quality_Manager.pdf,candidate_04_data_quality_manager,Data Quality Manager,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,STORE ASSOCIATE,Veterans Service Assistant,Veterans Service Assistant,STORE ASSOCIATE,Data Quality Manager,Database Administrator,Database Administrator,Data Quality Manager
4,Candidate_05_IT_Systems_Administrator.pdf,candidate_05_it_systems_administrator,IT Systems Administrator,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Systems Administrator III,IS Support Analyst I,Oracle Database Administrator III,Systems Administrator III,IT Systems Administrator,Information Security Analyst,Database Administrator,IT Systems Administrator
5,Candidate_07_Data_Analyst.pdf,candidate_07_data_analyst,Data Analyst,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,Data Analyst,"Manager, Industry TAM & Analytics","Researcher, Resource Tracking",Data Analyst,Data Analyst,Data and Analytics Manager,Data Visualization Expert,Data Analyst
6,Candidate_08_Deep_Learning.pdf,candidate_08_deep_learning,Deep Learning,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,Operations Leader,Quality Systems Specialist,Operations Leader,Operations Leader,Deep Learning,Data Quality Manager,Deep Learning,Deep Learning
7,Candidate_09_Data_Scientist.pdf,candidate_09_data_scientist,Data Scientist,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,Staff Assistant,"Resource Center Specialist, Guerrero Elementary",Veterans Service Assistant,Staff Assistant,Data Scientist,Statistics,Database Administrator,Data Scientist
8,Candidate_10_Data_Engineer.pdf,candidate_10_data_engineer,Data Engineer,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,GENERAL ENGINEER,Veterans Service Assistant,Entry Level Traffic Engineer,GENERAL ENGINEER,Data Engineer,Database Administrator,Big Data Engineer,Data Engineer
9,Candidate_11_Cloud_Services_Developer.pdf,candidate_11_cloud_services_developer,Cloud Services Developer,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Front End Developer,Java Full stack Developer,Web Architect,Front End Developer,Cloud Services Developer,Full Stack Developer,Cloud Architect,Cloud Services Developer
10,Candidate_12_Technical_Operations.pdf,candidate_12_technical_operations,Technical Operations,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Foreign Service Security Technical Specialist,Engineer II-TS,Client Services Administrator,Foreign Service Security Technical Specialist,Technical Operations,Data Engineer,Database Administrator,Technical Operations
11,Candidate_13_Database_Administrator.pdf,candidate_13_database_administrator,Database Administrator,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,"Instructional Assistant, Business",45 - 1:45 FNS,Schedule and Curriculum Manager,"Instructional Assistant, Business",Database Administrator,Statistics,Data Quality Manager,Database Administrator
12,Candidate_14_Network_Architect.pdf,candidate_14_network_architect,Network Architect,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ITS6 Network Architect Lead,Network Security Analyst,Senior Network Security Engineer,ITS6 Network Architect Lead,Network Architect,Information Security Analyst,Network Architect,Network Architect
13,Candidate_15_Data_Architect.pdf,candidate_15_data_architect,Data Architect,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Junior Data Engineer- ML and AI,Cassandra Architect,Data Scientist,Junior Data Engineer- ML and AI,Data Architect,Network Architect,Data Scientist,Data Architect
14,Candidate_16_IT_Consultant.pdf,candidate_16_it_consultant,IT Consultant,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Junior Knowledge Management Consultant with the HIV, Health and Development Team",Data Engineer,"Junior Knowledge Management Consultant with the HIV, Health and Development Team","Junior Knowledge Management Consultant with the HIV, Health and Development Team",IT Consultant,Big Data Engineer,IT Consultant,IT Consultant
15,Candidate_17_Machine_Learning.pdf,candidate_17_machine_learning,Machine Learning,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,Clinical Database Analyst / Reports Writer (MCC-CISS),C Developer (S00959P),Clinical Data Enginer PSJH,Clinical Database Analyst / SQL Developer,Machine Learning,Cloud Services Developer,Data Visualization Expert,Data Visualization Expert
